#start	end	length	mean	median	max
935735	935754	20	16.55	17	18
935801	935949	149	37.58	34	65
936302	936377	76	9.95	11	17
936424	937797	1374	9.32	8	25
937842	940627	2786	57.36	47	261
940860	940881	22	8.50	9	9
940997	941016	20	6.45	7	7
941070	942798	1729	32.37	26	102
942845	943886	1042	252.14	8	8025
944222	944379	158	321.89	283	577
944431	946399	1969	17.44	12	103
946683	946723	41	19.15	20	21
947199	947438	240	4.87	6	10
947483	951196	3714	34.83	27	160
951495	951720	226	29.63	27	53
951851	952266	416	27.64	26	64
952559	952784	226	34.76	21	78
952830	953175	346	83.37	94	162
953411	953466	56	36.73	37	44
954047	954138	92	90.91	91	121
954386	954438	53	21.34	22	27
954481	954709	229	10.84	9	28
954920	957155	2236	8.94	7	31
957194	962608	5415	18.38	8	143
962654	963748	1095	12.60	10	46
964269	965119	851	9.64	10	20
965166	967246	2081	13.02	10	60
967329	968038	710	13.03	5	87
968502	969829	1328	11.42	9	33
969927	970135	209	3.35	3	6
971010	971234	225	2.63	3	4
971277	973126	1850	3.22	3	14
973253	973342	90	134.64	66	577
973422	973511	90	181.23	99	697
973591	973681	91	278.64	94	1024
973761	975118	1358	8.37	4	154
978138	978264	127	4.72	5	6
978315	978667	353	0.92	1	3
979086	979528	443	3.02	3	7
980565	982177	1613	2.32	2	7
982275	982443	169	1.53	0	4
982958	982977	20	0.95	1	1
983426	986896	3471	2.34	1	16
987441	988479	1039	4.97	4	19
988967	990351	1385	3.59	3	10
990854	991950	1097	4.33	3	17
991993	996519	4527	15.89	11	109
996567	998470	1904	1.23	1	4
998508	999427	920	0.48	0	4
999957	1000066	110	2.02	3	3
1000632	1005411	4780	3.20	2	18
1005810	1006903	1094	81.31	21	740
1008033	1008191	159	173.91	185.5	313
1008238	1010543	2306	22.44	16	86
1010573	1010955	383	47.61	38	128
1010988	1018660	7673	28.16	17	173
1018731	1022007	3277	60.59	45	238
1022053	1023508	1456	10.22	7	36
1023587	1029072	5486	48.94	33	363
1029118	1031557	2440	165.37	140	743
1031608	1032107	500	174.51	169	436
1032150	1034701	2552	39.01	21	274
1035084	1035192	109	24.42	27	36
1035237	1035262	26	15.19	17	26
1036203	1036213	11	10.18	10	13
1036449	1036471	23	24.09	25	28
1036551	1036780	230	30.52	29	48
1036968	1037041	74	24.01	25	31
1037247	1037448	202	11.63	10	27
1037484	1037926	443	50.28	2	212
1038807	1038957	151	245.58	254.5	425
1039002	1039848	847	15.66	15	36
1039889	1040283	395	6.87	6	16
1040323	1042055	1733	5.93	5	22
1042103	1043185	1083	7.61	7	19
1043232	1045648	2417	4.98	3	39
1046136	1048344	2209	40.86	32	131
1048808	1048938	131	58.89	60.5	79
1050143	1050178	36	8.89	7	18
1050208	1050499	292	71.79	4	207
1051047	1051165	119	243.42	245.5	377
1051209	1051285	77	7.56	10	12
1052214	1052255	42	3.12	3	5
1052303	1054321	2019	4.37	3	19
1054572	1054859	288	9.19	5	24
1054910	1056778	1869	57.65	57	158
1056821	1058423	1603	6.75	6	23
1058472	1061356	2885	32.88	21	203
1062381	1062640	260	59.00	56	132
1062741	1062909	169	158.39	168.5	229
1062955	1064818	1864	56.93	47	177
1064870	1069858	4989	25.94	16	251
1069900	1071226	1327	48.12	32.5	154
1071657	1072065	409	90.97	86	221
1072526	1072767	242	14.14	14	26
1072919	1073535	617	28.40	22	75
1073723	1074355	633	78.48	76	188
1074987	1075168	182	20.05	24	29
1075527	1075885	359	42.64	38	90
1075930	1078935	3006	15.25	11	78
1079216	1079847	632	13.91	10	51
1079882	1087082	7201	14.12	10	118
1087120	1087130	11	4883.18	5394.5	5401
1087201	1089186	1986	7.97	5	36
1089425	1089447	23	15.96	16	19
1089575	1089696	122	18.58	19	26
1089800	1089957	158	13.31	13	22
1090057	1090246	190	9.33	3	57
1090572	1090648	77	33.57	34	40
1091142	1091464	323	17.50	17	32
1091580	1091695	116	43.43	51	64
1091946	1093018	1073	10.05	9	33
1093156	1093203	48	14.83	13	29
1093688	1093704	17	5.12	5	7
1094081	1094763	683	12.40	10	36
1095167	1095456	290	16.51	14	33
1095800	1097877	2078	12.17	4	109
1098044	1098342	299	3.40	3	11
1099001	1099014	14	10.07	11	11
1099721	1099953	233	7.21	7	17
1099989	1100467	479	15.09	8	55
1101132	1101183	52	15.79	17	31
1101230	1102289	1060	1.35	1	4
1102337	1104038	1702	68.28	54	277
1104076	1105849	1774	28.34	14	252
1106415	1106496	82	7.50	7	10
1106545	1108687	2143	29.59	24	98
1108731	1109873	1143	11.60	11	29
1109916	1111467	1552	8.29	8	27
1111508	1112988	1481	138.19	93	627
1113038	1114719	1682	84.10	12	1595
1114753	1114933	181	7.59	3	35
1115751	1115779	29	26.97	28	37
1116192	1116258	67	22.99	24	28
1116971	1117149	179	20.44	20	31
1117685	1117692	8	10.38	12	12
1117970	1118061	92	30.60	30	46
1118282	1118359	78	34.63	21	71
1118392	1119026	635	20.15	21	40
1119057	1120269	1213	17.00	17	47
1120586	1121745	1160	13.44	9	66
1121951	1122008	58	2.14	3	3
1122041	1124871	2831	33.95	28	147
1125143	1125791	649	44.25	38	128
1125836	1126741	906	16.29	12	77
1126790	1127719	930	31.79	29	71
1128198	1128211	14	21.14	22	25
1128645	1128798	154	20.66	26	36
1128848	1130097	1250	6.75	6	20
1130237	1130295	59	13.39	13	18
1130516	1135445	4930	19.63	9	193
1135541	1135872	332	46.20	2	1832
1136048	1136304	257	6.94	7	10
1136750	1136766	17	6.41	6.5	9
1137233	1137415	183	15.62	15.5	22
1137756	1137814	59	10.14	10	13
1137846	1137906	61	1.00	1	2
1138751	1139666	916	2.53	2	12
1139706	1142923	3218	3.40	3	12
1142969	1145448	2480	5.74	4	25
1145491	1147879	2389	36.63	23	302
1148190	1148281	92	33.17	37	42
1148826	1149421	596	21.58	20	60
1149522	1151884	2363	9.52	8	31
1152111	1152265	155	7.81	8.5	11
1152597	1152645	49	9.33	9	12
1152974	1153488	515	4.12	4	9
1154180	1154290	111	6.76	6	12
1154607	1155091	485	13.65	12.5	28
1155243	1158916	3674	32.30	2	552
1160055	1160376	322	93.07	86	217
1160426	1161447	1022	16.36	13	56
1161611	1161735	125	33.50	39	48
1162274	1162467	194	28.61	27	51
1162952	1163007	56	40.64	39	53
1163198	1164288	1091	25.12	22	68
1164331	1164589	259	2.83	1	8
1164861	1164985	125	0.30	0	1
1165218	1165391	174	1.44	1	4
1165437	1169316	3880	101.88	93	264
1169735	1170805	1071	9.60	7	45
1171680	1171819	140	10.18	7	29
1172592	1172877	286	29.01	33	49
1173269	1173635	367	38.58	36	83
1173682	1174705	1024	5.04	4	17
1175157	1176396	1240	10.35	9	29
1176833	1176903	71	15.06	15	21
1176956	1179132	2177	28.06	21	130
1179455	1179651	197	99.75	101	156
1180190	1180475	286	41.32	45	69
1180520	1182106	1587	1.61	2	4
1182555	1182616	62	3.98	4	8
1182885	1184197	1313	2.75	2	11
1184721	1184955	235	63.44	66.5	133
1185581	1185642	62	34.79	39	45
1185691	1186327	637	161.87	140	734
1187004	1187027	24	21.12	22	39
1187059	1187244	186	2.54	3	4
1187594	1188408	815	3.14	3	8
1189289	1190883	1595	6.95	5	30
1191686	1197018	5333	45.10	30	246
1198022	1198110	89	6.76	5	11
1198154	1198969	816	234.03	168	679
1199150	1200885	1736	18.93	14	63
1200919	1201088	170	10.06	2	71
1201229	1202223	995	9.52	7	35
1203452	1203603	152	6.09	6	14
1204493	1204587	95	1.31	1	2
1204961	1205163	203	3.65	4	6
1205588	1207030	1443	8.54	7	32
1207731	1207896	166	10.81	12	15
1208114	1208151	38	8.55	9	11
1208414	1208435	22	2.36	2	4
1208481	1209672	1192	30.60	7	270
1211870	1211886	17	32.88	35	43
1211932	1212710	779	89.70	62	286
1212977	1215304	2328	41.07	35	117
1215348	1217191	1844	14.35	11	71
1217238	1217841	604	48.08	10	147
1218932	1219100	169	16.01	15	28
1219146	1225604	6459	22.96	14	161
1225659	1229094	3436	27.34	15	152
1230323	1230499	177	15.52	7.5	52
1231530	1231584	55	3.00	3	7
1231629	1239900	8272	17.11	10	89
1239945	1240611	667	11.01	9	26
1240660	1248976	8317	16.94	5	169
1249083	1249242	160	4.14	4	8
1249910	1251851	1942	66.56	46	231
1251898	1255539	3642	11.38	9	62
1255577	1257115	1539	33.71	29	137
