#start	end	length	mean	median	max
1417041	1417067	27	62.07	65	70
1417887	1417888	2	60.00	120	120
1420190	1420204	15	121.93	131	133
1421574	1421604	31	2619.13	2707	2711
1422856	1422914	59	1981.39	2029	2138
1424379	1424391	13	76.77	83	85
1425790	1425794	5	37.80	47	48
1427602	1427687	86	3196.51	5303	6208
1428957	1428974	18	961.11	1019	1023
1430605	1430855	251	287.50	86	800
1432278	1432417	140	54.68	55	77
1433282	1433294	13	20.31	23	23
1436199	1436250	52	109.77	113	145
1436995	1437000	6	103.83	126	129
1438042	1438086	45	221.38	247.5	280
1439425	1439428	4	113.00	150	153
1440239	1440244	6	91.83	114	118
1440722	1440895	174	1156.62	375	2759
1441334	1441693	360	1863.93	1282	8002
1442354	1442397	44	941.39	1142	1187
1444903	1444943	41	122.37	124	170
1445739	1445792	54	274.72	294	346
1446024	1446084	61	53.85	56	63
1446926	1446952	27	74.70	78	84
1448026	1448098	73	1236.82	298	3121
1449672	1450187	516	1113.83	146	5881
1450635	1450779	145	80.41	46	245
1450960	1451003	44	48.39	47	57
1451502	1451756	255	451.27	47	1501
1452051	1452071	21	520.05	545.5	557
1454948	1454964	17	54.41	55	76
1455817	1456006	190	591.40	13	3528
1456733	1456777	45	290.04	301.5	354
1457642	1457651	10	591.80	664	669
1458465	1458581	117	297.85	29.5	1391
1459722	1459925	204	354.06	217	1741
1460892	1461430	539	955.94	726.5	8002
1463957	1464047	91	146.86	156	170
1464753	1464754	2	32.00	64	64
1467734	1467802	69	612.30	202.5	1400
1470541	1470847	307	52.97	57	95
1470950	1471118	169	1590.31	21	8003
1471965	1471966	2	25.00	50	50
1472843	1473555	713	286.10	173.5	1353
1473688	1473917	230	4480.89	6215	8001
1476891	1477541	651	2638.10	881	8013
1477875	1477926	52	60.48	58	96
1479661	1479703	43	6.16	6.5	7
1480886	1480999	114	3.36	4	4
1482857	1482974	118	2779.25	4500	4906
1483899	1484028	130	527.37	440	1131
1484473	1484534	62	1111.05	352	2221
1484874	1484976	103	69.85	65	134
1485775	1485781	7	55.43	65	66
1486883	1486894	12	179.25	196	197
1488562	1488624	63	76.81	78	91
1489402	1489407	6	61.17	73	75
1489672	1489684	13	57.00	61	66
1490987	1490989	3	52.00	78	78
1491902	1491920	19	243.89	256	262
1494681	1494707	27	514.74	587	588
1494960	1495063	104	175.17	50	1842
1495682	1495811	130	53.62	51	72
1496037	1496095	59	965.49	1078	1167
1496636	1496988	353	1207.56	476	8012
1497169	1497366	198	964.25	195	4837
1501477	1501516	40	308.02	314	348
1502330	1502585	256	1746.59	679	7997
1502802	1503437	636	1319.27	146	8025
1506006	1506116	111	47.96	40	67
1506996	1507000	5	29.20	38	38
1507877	1507949	73	452.68	505	752
1508196	1508431	236	2678.81	305	8014
1509149	1509159	11	3.64	4	4
1510174	1510187	14	108.07	118	122
1510431	1511134	704	1122.83	667	7997
1512632	1513142	511	4793.44	4648.5	8000
1513920	1514042	123	1310.66	1195.5	3611
1514532	1514553	22	354.82	371	392
1516040	1516044	5	264.80	331	333
1516495	1516507	13	106.77	116	119
1516907	1516980	74	1191.77	347	2498
1517898	1517905	8	382.38	443	450
1519547	1519548	2	76.50	153	153
1521686	1521891	206	128.49	125	183
1524130	1524577	448	78.99	50	269
1524679	1524948	270	301.27	248	4254
1525858	1525869	12	645.42	761	780
1526744	1526769	26	760.50	794	839
1527400	1527771	372	1505.28	1005	4021
1528084	1528140	57	1797.79	3193.5	3395
1532544	1532693	150	317.83	16	1033
1533744	1533922	179	238.57	226.5	458
1534439	1534528	90	144.28	176	219
1535204	1535208	5	72.00	90	91
1536792	1536793	2	85.50	171	171
1537925	1538061	137	1240.97	563	2241
1538755	1538761	7	319.14	370.5	381
1539782	1539835	54	601.81	859	901
1540580	1540696	117	4640.83	7059	8000
1543373	1543442	70	181.07	22	412
1544634	1544701	68	75.99	76	99
1546739	1546771	33	62.97	68.5	73
1547908	1547911	4	30.00	40	40
1548383	1548384	2	22.50	45	45
1548946	1548957	12	96.17	105	107
1554188	1554199	12	200.00	216	227
1555445	1555447	3	170.00	255	260
1556243	1556248	6	61.83	74	76
1556507	1556518	12	155.33	170	173
1557257	1557285	29	167.76	177	186
1557730	1557742	13	312.15	377	417
1560524	1560537	14	114.50	123	127
1561525	1561538	14	164.57	178	180
1564415	1564520	106	3647.97	88	7999
1566120	1566260	141	765.57	158	2406
1566528	1566541	14	209.71	231	235
1567151	1567156	6	270.50	320	342
1568498	1568503	6	151.67	182	184
1569452	1569508	57	1836.32	79	4474
1570043	1570054	12	501.58	553	610
1570613	1570669	57	105.25	126	141
1571735	1571851	117	1307.37	106	6881
1572668	1572834	167	303.31	298.5	705
1572904	1573067	164	914.75	888	1489
1574232	1574412	181	1281.02	18	5768
1577211	1577238	28	53.25	55	59
1580192	1580321	130	2752.12	4059	4545
1581477	1581488	12	359.50	397	430
1584291	1584446	156	3058.09	84	8001
1587078	1587306	229	477.50	475	723
1588465	1588568	104	412.68	488	613
1589754	1589955	202	2241.07	193	8015
1590046	1590108	63	215.90	235	447
1590646	1590648	3	19.00	28.5	29
1594486	1594489	4	43.00	57	58
1594775	1594907	133	44.52	16	186
1595658	1595769	112	13.18	11	36
1597060	1597195	136	15.59	9	53
1600097	1600101	5	8.80	11	11
1602036	1602087	52	161.29	92	280
1603957	1604040	84	2598.27	1129	5470
1604386	1604391	6	523.33	624	637
1605774	1605877	104	402.70	202	2478
1605948	1605955	8	698.12	800	801
1607469	1607623	155	104.70	101	161
1608995	1609149	155	63.96	23	1492
1609690	1609734	45	238.00	276.5	406
1609972	1609974	3	106.00	159	161
1612415	1613000	586	765.62	372	3232
1614282	1614353	72	539.56	57	1558
1614780	1614838	59	45.27	51	55
1614893	1615029	137	130.64	62.5	349
1615714	1615877	164	429.45	255	747
1617968	1617980	13	94.15	101	112
1618482	1618608	127	275.39	89	581
1621606	1621611	6	85.67	103	103
1622877	1622887	11	78.09	85	90
1623812	1623813	2	25.00	50	50
1627915	1627926	12	1737.00	2716	2735
1628263	1628274	12	127.17	144	147
1629244	1629254	11	174.27	197.5	202
1630764	1630828	65	359.57	379	461
1631210	1631259	50	1174.20	2000	2138
1632574	1632599	26	87.77	91	104
1635435	1635685	251	752.00	596	1749
1636478	1636479	2	116.00	232	232
1637545	1637995	451	375.67	422	721
1639841	1639998	158	933.03	431	2601
1640326	1640455	130	5126.26	6905	8007
1640939	1640953	15	151.40	158.5	179
1641374	1641583	210	499.62	154	1245
1642748	1642773	26	1137.46	1161	1270
1643779	1643981	203	554.50	360	2421
1644981	1645223	243	3277.53	1472.5	8008
1645818	1645959	142	1671.65	503	5986
1646773	1647267	495	317.61	233	794
1649456	1649470	15	167.20	179.5	184
1650643	1650644	2	29.50	59	59
1652649	1652650	2	134.00	268	268
1653767	1653856	90	3054.76	107	6814
1654619	1654695	77	1693.43	1301	2484
1655314	1655316	3	73.00	109.5	111
1655587	1655610	24	79.42	80	101
1656592	1656595	4	82.50	110	111
1657241	1657274	34	134.44	139	145
1658391	1658441	51	311.63	410	446
1658868	1658879	12	35.75	39	40
1660481	1660609	129	440.71	59	1453
1661396	1661399	4	171.50	228	230
1662321	1662387	67	134.90	100	233
1663408	1663589	182	473.85	32	2617
1664376	1664449	74	133.50	146	172
1664786	1664876	91	118.00	113.5	171
1665342	1666028	687	946.57	448.5	4743
1666788	1667056	269	217.78	190	675
1667678	1667680	3	304.33	456.5	457
1667798	1667867	70	30.57	27	79
