RUF_ID	RNAcode_score
CP000100_1838650_1838755	NA
CP000100_219869_219926	NA
CP000100_2281075_2281199	NA
CP000100_2288886_2288961	NA
CP000100_2299516_2299795	NA
CP000100_2432877_2432950	NA
CP000100_2596654_2596718	NA
CP000100_2622882_2623090	NA
CP000100_2638186_2638475	NA
CP000100_323413_323780	NA
CP000100_340129_340287	NA
CP000100_403898_404015	0.315
CP000100_643964_644173	NA
CP000143_1218673_1218790	0.404
CP000143_1468_1574	0.178
CP000143_1945_2129	0.016
CP000143_2592842_2592959	0.200
CP000143_290940_291030	NA
CP000143_2919718_2919877	NA
CP000143_292190_292422	0.141
CP000143_2958269_2958350	NA
CP000143_303213_303420	0.314
CP000143_319699_319836	0.207
CP000143_509154_509289	NA
CP000143_792577_792831	0.781
CP000144_1470_1633	0.109
CP000144_16272_16435	NA
CP000144_1931_2131	3.981e-04
CP000144_238502_238725	0.155
CP000144_33597_33674	0.460
CP000144_35144_35306	0.131
CP000144_35603_35803	9.254e-04
CP000144_683392_683495	NA
CP000144_857601_857693	NA
CP000144_942651_943015	0.415
CP000249_1271456_1271588	NA
CP000249_1410438_1410575	NA
CP000249_1798477_1798606	NA
CP000249_2422730_2422886	NA
CP000249_2552941_2553153	NA
CP000249_3847966_3848362	NA
CP000249_4797940_4798189	NA
CP000249_5197015_5197167	NA
CP000249_5256732_5256900	0.274
CP000249_5340751_5340877	NA
CP000249_548147_548257	0.875
CP000249_810412_810517	NA
CP000249_889108_889294	NA
CP000253_1201335_1201451	0.028
CP000253_1670698_1670760	0.979
CP000253_1734331_1734576	0.689
CP000253_1904455_1904670	0.407
CP000253_2127952_2128071	0.652
CP000253_2242338_2242630	0.995
CP000253_2300174_2300303	0.549
CP000253_2555792_2555932	NA
CP000253_450372_450738	NA
CP000253_492975_493098	0.996
CP000253_494651_495017	NA
CP000253_519077_519286	0.008
CP000253_529860_529959	0.865
CP000253_530907_531031	0.733
CP000253_533111_533329	0.342
CP000253_748891_748953	0.971
CP000253_777130_777184	0.549
CP000438_1498998_1499096	0.222
CP000438_2154641_2154737	0.347
CP000438_2244040_2244160	0.315
CP000438_2362160_2362501	NA
CP000438_3675920_3676015	0.541
CP000438_3713501_3713607	0.868
CP000438_4464873_4464954	0.212
CP000438_5157963_5158032	0.487
CP000438_5288137_5288356	0.180
CP000438_6315761_6315880	0.156
CP000438_732702_733001	0.854
CP000438_734889_734981	0.084
CP000438_745545_745612	0.341
CP000438_755071_755163	0.997
CP000438_759483_759559	0.105
CP000721_1572619_1572868	0.999
CP000721_1713744_1714065	0.449
CP000721_1832725_1833036	0.000e+00
CP000721_191954_192115	0.004
CP000721_240228_240524	0.301
CP000721_2511924_2512215	0.046
CP000721_268738_268855	NA
CP000721_277880_278088	NA
CP000721_284792_285176	NA
CP000721_3106872_3107090	NA
CP000721_3134597_3134747	0.613
CP000721_351928_352201	0.296
CP000721_3710931_3711129	0.121
CP000721_40077_40334	0.466
CP000721_4444653_4444785	NA
CP000721_4504675_4504906	NA
CP000721_522147_522347	0.812
CP000721_5300020_5300131	NA
CP000721_5860231_5860342	0.859
CP000721_615533_615620	0.169
CP000721_684026_684143	NA
CP000721_791430_791718	0.554
CP000721_838040_838283	NA
CP000800_106932_106994	0.821
CP000800_1098712_1098868	0.464
CP000800_1212019_1212158	0.296
CP000800_1224744_1225051	3.377e-08
CP000800_1228833_1229045	0.496
CP000800_1352645_1352797	0.912
CP000800_1430886_1431076	4.441e-16
CP000800_1765871_1766061	1.542e-13
CP000800_191227_191486	0.434
CP000800_1925568_1925916	4.008e-12
CP000800_1926349_1926462	1.265e-06
