#start	end	length	mean	median	max
1765347	1765511	165	3.22	3	9
1766571	1766722	152	0.27	0	1
1766927	1766980	54	17.22	17	35
1768265	1768730	466	33.78	1	419
1770153	1770225	73	4.22	4	7
1770901	1770904	4	12.50	17	17
1771382	1771491	110	1.03	1	3
1772149	1772376	228	2.36	2	6
1774702	1774857	156	2.40	3	5
1775338	1775390	53	8.91	9	16
1776642	1776652	11	2.27	2.5	3
1777721	1778153	433	1.76	2	4
1779099	1779351	253	3.06	3	9
1780102	1780169	68	3.25	3	6
1781648	1781653	6	3.00	4	4
1784886	1785235	350	5.86	1	43
1786106	1786232	127	3.37	3	8
1787073	1787082	10	1.20	1	2
1788991	1788992	2	0.50	1	1
1789431	1789602	172	2.49	0	10
1790920	1791041	122	0.19	0	2
1791813	1791932	120	7.42	2	23
1792962	1793219	258	0.43	0	1
1794201	1794226	26	5.08	5	7
1794617	1794863	247	0.82	1	3
1797069	1797225	157	0.61	1	2
1798138	1798233	96	8.68	8	12
1801301	1801304	4	1.50	2	2
1802286	1802419	134	0.11	0	1
1803599	1803600	2	4.50	9	9
1804255	1804344	90	4.79	4	7
1807345	1807501	157	0.29	0	1
1808039	1808094	56	1.64	2	3
1808941	1808946	6	2.50	3	3
1809835	1809953	119	0.76	1	2
1811265	1811279	15	7.67	9	9
1812594	1812686	93	0.17	0	1
1813242	1813261	20	2.75	3	3
1815239	1815441	203	2.67	1.5	38
1816693	1816950	258	1.53	1	5
1818277	1818390	114	2.75	2	12
1819153	1819382	230	5.20	4	24
1819956	1819957	2	1.00	2	2
1820486	1820491	6	8.50	11	11
1821089	1821112	24	8.83	9	12
1821368	1821491	124	7.14	6	24
1824260	1824300	41	8.54	6	14
1826185	1826194	10	36.00	40	49
1827197	1827201	5	5.40	7	7
1828615	1829031	417	3.15	2	10
1830148	1830345	198	1.98	2	5
1832017	1832060	44	29.66	29	36
1833012	1833165	154	0.29	0	1
1835247	1835378	132	5.14	5	8
1836420	1836559	140	1.48	1	8
1838039	1838134	96	5.41	6	9
1839251	1839413	163	0.31	0	2
1840008	1840167	160	2.71	2	8
